phrase,en,id
周末,weekend,0
打算,plan,1
啊,“a” (exclamation),2
跟,with,3
小丽,(name),4
小刚,(name),5
一直,all the time,6
游戏,game,7
作业,homework,8
着急,anxious,9
复习,to review,10
南方,southern,11
北方,north,12
面包,bread,13
带,to bring,14
地图,map,15
搬,to carry,16
腿,leg,17
疼,to feel pain,18
脚,foot,19
树,tree,20
容易,easy,21
难,difficult,22
经理,manager,23
办公室,office,24
周明,"Zhou Ming, a personal name",25
周,surname Zhou,26
辆,measure word for cars,27
楼,building,28
拿,"to grab, to take",29
把,measure word for things with handles,30
伞,umbrella,31
胖,fat,32
其实,"actually, in fact",33
瘦,skinny,34
还是,or,35
爬山,to hike a mountain,36
小心,careful,37
条,measure word for things that are long and soft,38
裤子,pants,39
记得,to remember,40
衬衫,shirt,41
元,"measure word, unit for money",42
新鲜,fresh,43
甜,sweet,44
只,"only, solely",45
放,to put,46
饮料,"beverage, drink",47
或者,or,48
舒服,comfortable,49
花,flower,50
绿,green,51
比赛,competition,52
照片,photo,53
年级,grade,54
又,and,55
马可,(name),56
小明,(name),57
聪明,smart,58
热情,"warm, enthusiastic",59
努力,hard-working,60
总是,always,61
回答,to answer,62
站,to stand,63
饿,hungry,64
超市,supermarket,65
蛋糕,cake,66
年轻,young,67
认真,serious,68
客人,customer,69
李小美,(name),70
发烧,to have a fever,71
为,for,72
照顾,take care of,73
用,need,74
感冒,to catch a cold,75
张,(surname),76
季节,season,77
当然,of course,78
春天,spring,79
草,grass,80
夏天,summer,81
裙子,skirt,82
最近,these days,83
越,more,84
突然,suddenly,85
离开,to leave,86
清楚,clear,87
刚才,just now,88
帮忙,to help,89
特别,especially,90
讲,to explain,91
明白,clear,92
锻炼,to exercise,93
音乐,music,94
公园,park,95
聊天儿,to chat,96
更,more,97
同事,colleague,98
以前,"before, ago",99
银行,bank,100
久,long time,101
感兴趣,to be interested in,102
结婚,to get married,103
欢迎,to welcome,104
迟到,to be late,105
半,half,106
接,to pick up (a person),107
刻,quarter hour,108
差,to fall short of,109
又,again,110
满意,to be satisfied,111
电梯,elevator,112
层,measure word - level,113
害怕,to be afraid,114
熊猫,panda,115
见面,to meet,116
安静,quiet,117
一会儿,moment,118
马上,immediately,119
洗手间,bathroom,120
老,old (age),121
几乎,almost,122
变化,change,123
健康,healthy,124
重要,important,125
中文,Chinese Language,126
班,class,127
一样,"same, as... as...",128
最后,the last one,129
放心,to rest assured,130
一定,definitely,131
担心,to worry,132
比较,"fairly, comparatively",133
了解,to be familiar with,134
先,first,135
中间,in the middle,136
参加,to participate,137
影响,influence,138
个子,"height, stature",139
矮,short,140
历史,history,141
体育,"PE, sports",142
数学,maths,143
方便,convenient,144
自行车,bicycle,145
骑,to ride,146
旧,old,147
换,to exchange,148
地方,place,149
主要,main,150
环境,environment,151
附近,nearby,152
图书馆,library,153
借,"to borrow, to lend",154
词典,dictionary,155
还,to return,156
灯,"light, lamp",157
会议,"a meeting, conference",158
结束,"to end, to finish",159
忘记,to forget,160
空调,air conditioner,161
关,"to turn off, to close",162
地铁,"subway, metro",163
双,a pair of,164
筷子,chopsticks,165
啤酒,beer,166
口,measure word - a mouthful,167
瓶子,bottle,168
笔记本电脑,laptop computer,169
电子邮件,email,170
习惯,"habit, to be used to",171
太阳,the sun,172
西,west,173
生气,angry,174
行李箱,luggage,175
自己,oneself,176
包,bag,177
发现,to discover,178
护照,passport,179
起飞,(an aircraft) to take off,180
司机,driver,181
教,to teach,182
画,"to draw, to paint",183
需要,to need,184
黑板,blackboard,185
终于,finally,186
爷爷,grandfather,187
礼物,"gift, present",188
奶奶,grandmother,189
遇到,"to encounter, to run into",190
一边,indicating two actions taking place at the same time,191
过去,the past,192
一般,"in general, usual",193
愿意,be willing to,194
起来,to rise,195
应该,should,196
校长,"school principal, headmaster",197
坏,broken,198
经常,often,199
打扫,"to clean, to sweep",200
干净,clean,201
然后,"then, afterwards",202
冰箱,refrigerator,203
洗澡,to take a shower or bath,204
节目,"program (TV, performance)",205
月亮,the moon,206
像,to be like,207
盘子,plate,208
刮风,to be windy,209
叔叔,uncle,210
阿姨,aunt,211
故事,story,212
声音,"sound, voice",213
菜单,menu,214
简单,simple,215
香蕉,banana,216
留学,to study abroad,217
水平,"level, standard",218
提高,to improve,219
练习,exercise,220
完成,to complete,221
句子,sentence,222
其他,"the rest, others",223
发,to send,224
要求,requirement,225
注意,to pay attention to,226
小云,(name),227
上网,to get online,228
除了,"except, other than",229
新闻,news,230
花,to spend,231
极了,extremely,232
节日,festival,233
世界,world,234
街道,street,235
文化,culture,236
城市,city,237
如果,"if, in case",238
认为,"to think, to believe",239
皮鞋,leather shoes,240
帽子,"hat, cap",241
长,"to grow, to develop",242
可爱,"lovely, adorable",243
米,metre,244
公斤,kilogram,245
鼻子,nose,246
头发,hair,247
检查,"to check, to examine",248
刷牙,to brush the teeth,249
关系,relationship,250
别人,other people,251
请假,to ask for leave,252
一共,in total,253
邻居,neighbour,254
后来,"later, afterwards",255
爱好,"hobby, interest",256
办法,"way, approach",257
饱,"full, having / eaten one's fill",258
为了,for the sake of,259
决定,to decide,260
选择,to choose,261
冬天,winter,262
必须,must,263
根据,"according to, based on",264
口,mouth,265
渴,thirsty,266
向,towards,267
万,10000,268
只,measure word used for animals and body parts,269
嘴,mouth,270
动物,animal,271
段,measure word used for sections or periods,272
不但……而且……,not only... but also...,273
有名,famous,274
同意,to agree,275
相信,to believe,276
关于,"about, regarding",277
机会,opportunity,278
国家,"country, nation",279
种,"kind, type",280
奇怪,"strange, odd",281
地,particle: adverb + de + verb,282
耳朵,ear,283
脸,face,284
短,short,285
马,horse,286
张,measure word for flat objects,287
位,respectful measure word for people,288
蓝,blue,289
秋天,autumn,290
过,to spend (time),291
鸟,bird,292
哭,to cry,293
黄河,Yellow River,294
船,"boat, ship",295
经过,to pass,296
照相机,camera,297
被,preposition for passive voice,298
难过,sad,299
东,east,300
信用卡,credit card,301
关心,"to care for, to be interested in",302
只有……才……,only... then...,303
成绩,grade (academic performance),304
碗,bowl,305
分,to distinguish,306
解决,to solve,307
试,to try,308
多么,"very, to a great extent",309
极,extremely,310
角,horn,311
笔记本,notebook,312
秋,autumn,313
南,south,314
春,spring,315
夏,summer,316
冬,winter,317
北方,north,318